R05037	1.14.20.4	anthocyanidin synthase	1.14.20
R05038	1.1.1.219	dihydroflavonol 4-reductase	1.1.1
R05039	1.14.11.9	flavanone 3-dioxygenase	1.14.11
R05046	3.5.4.16	GTP cyclohydrolase I	3.5.4
R05048	3.5.4.16	GTP cyclohydrolase I	3.5.4
R05049	1.2.1.71	succinylglutamate-semialdehyde dehydrogenase	1.2.1
R05050	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R05051	1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase	1.2.1
R05052	2.6.1.1	aspartate transaminase	2.6.1
R05052	2.6.1.23	4-hydroxyglutamate transaminase	2.6.1
R05053	2.6.1.21	D-amino-acid transaminase	2.6.1
R05055	2.3.2.-		2.3.2
R05061	2.3.1.152	alcohol O-cinnamoyltransferase	2.3.1
R05062	1.1.2.8	alcohol dehydrogenase (cytochrome c)	1.1.2
R05063	4.1.3.-		4.1.3
R05064	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase	3.1.2
R05066	1.1.1.31	3-hydroxyisobutyrate dehydrogenase	1.1.1
R05066	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	1.1.1
R05068	1.1.1.86	ketol-acid reductoisomerase (NADP+)	1.1.1
R05069	1.1.1.86	ketol-acid reductoisomerase (NADP+)	1.1.1
R05069	5.4.99.3	2-acetolactate mutase	5.4.99
R05070	4.2.1.9	dihydroxy-acid dehydratase	4.2.1
R05071	1.1.1.86	ketol-acid reductoisomerase (NADP+)	1.1.1
R05071	5.4.99.3	2-acetolactate mutase	5.4.99
R05072	2.8.1.5	thiosulfate---dithiol sulfurtransferase	2.8.1
R05074	2.4.99.13	(Kdo)-lipid IVA 3-deoxy-D-manno-octulosonic acid transferase	2.4.99
R05076	4.2.1.148	2-methylfumaryl-CoA hydratase	4.2.1
R05078	4.2.1.-		4.2.1
R05083	2.4.1.-		2.4.1
R05084	1.1.1.416	isopyridoxal dehydrogenase (5-pyridoxolactone-forming)	1.1.1
R05085	2.6.1.52	phosphoserine transaminase	2.6.1
R05086	4.2.3.1	threonine synthase	4.2.3
R05087	4.1.1.-		4.1.1
R05092	4.2.3.19	ent-kaurene synthase	4.2.3
R05097	1.14.11.12	gibberellin-44 dioxygenase	1.14.11
R05099	1.2.1.4	aldehyde dehydrogenase (NADP+)	1.2.1
R05099	1.2.1.63	6-oxohexanoate dehydrogenase	1.2.1
R05100	3.7.1.11	cyclohexane-1,2-dione hydrolase	3.7.1
R05123	2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase	2.1.1
R05124	1.1.1.247	codeinone reductase (NADPH)	1.1.1
R05126	1.14.11.31	thebaine 6-O-demethylase	1.14.11
R05127	1.14.11.32	codeine 3-O-demethylase	1.14.11
R05133	3.2.1.86	6-phospho-beta-glucosidase	3.2.1
R05134	3.2.1.86	6-phospho-beta-glucosidase	3.2.1
R05135	3.1.4.16	2',3'-cyclic-nucleotide 2'-phosphodiesterase	3.1.4
R05136	4.1.2.45	trans-o-hydroxybenzylidenepyruvate hydratase-aldolase	4.1.2
R05137	5.99.1.4	2-hydroxychromene-2-carboxylate isomerase	5.99.1
R05138	3.7.1.25	2-hydroxy-6-oxohepta-2,4-dienoate hydrolase	3.7.1
R05141	3.2.1.74	glucan 1,4-beta-glucosidase	3.2.1
R05142	3.2.1.74	glucan 1,4-beta-glucosidase	3.2.1
R05148	1.14.12.15	terephthalate 1,2-dioxygenase	1.14.12
R05149	2.1.1.132	precorrin-6B C5,15-methyltransferase (decarboxylating)	2.1.1
R05150	1.3.1.54	precorrin-6A reductase	1.3.1
R05154	1.14.13.62	4-hydroxyquinoline 3-monooxygenase	1.14.13
R05155	1.13.11.48	3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase	1.13.11
R05156	1.14.12.14	2-aminobenzenesulfonate 2,3-dioxygenase	1.14.12
R05157	1.14.12.16	2-hydroxyquinoline 5,6-dioxygenase	1.14.12
R05158	1.14.13.61	2-hydroxyquinoline 8-monooxygenase	1.14.13
R05162	2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase	2.1.1
R05165	2.7.8.23	carboxyvinyl-carboxyphosphonate phosphorylmutase	2.7.8
R05166	3.2.1.140	lacto-N-biosidase	3.2.1
R05168	3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase	3.5.1
R05169	3.5.3.21	methylenediurea deaminase	3.5.3
R05170	3.5.3.21	methylenediurea deaminase	3.5.3
R05171	3.5.3.21	methylenediurea deaminase	3.5.3
R05172	3.5.3.21	methylenediurea deaminase	3.5.3
R05174	4.2.1.98	16alpha-hydroxyprogesterone dehydratase	4.2.1
R05176	5.1.3.20	ADP-glyceromanno-heptose 6-epimerase	5.1.3
R05177	5.4.99.61	precorrin-8X methylmutase	5.4.99
R05180	2.1.1.131	precorrin-3B C17-methyltransferase	2.1.1
R05181	2.1.1.133	precorrin-4 C11-methyltransferase	2.1.1
R05182	1.16.1.8	[methionine synthase] reductase	1.16.1
R05185	1.18.6.1	nitrogenase	1.18.6
R05186	1.19.6.1	nitrogenase (flavodoxin)	1.19.6
R05188	2.3.1.85	fatty-acid synthase system	2.3.1
R05190	2.3.1.86	fatty-acyl-CoA synthase system	2.3.1
R05191	2.4.1.43	polygalacturonate 4-alpha-galacturonosyltransferase	2.4.1
R05196	2.4.1.25	4-alpha-glucanotransferase	2.4.1
R05197	6.3.2.17	tetrahydrofolate synthase	6.3.2
R05198	1.1.2.8	alcohol dehydrogenase (cytochrome c)	1.1.2
R05202	2.7.1.158	inositol-pentakisphosphate 2-kinase	2.7.1
R05207	2.3.2.-		2.3.2
R05211	2.1.1.115	(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase	2.1.1
R05212	2.1.1.116	3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase	2.1.1
R05213	2.1.1.121	6-O-methylnorlaudanosoline 5'-O-methyltransferase	2.1.1
R05214	2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase	2.1.1
R05216	2.1.1.115	(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase	2.1.1
R05217	1.14.13.83	precorrin-3B synthase	1.14.13
R05218	1.16.8.-		1.16.8
R05219	2.1.1.152	precorrin-6A synthase (deacetylating)	2.1.1
R05220	2.5.1.17	corrinoid adenosyltransferase	2.5.1
R05221	2.7.1.156	adenosylcobinamide kinase	2.7.1
R05222	2.7.7.62	adenosylcobinamide-phosphate guanylyltransferase	2.7.7
R05223	2.7.8.26	adenosylcobinamide-GDP ribazoletransferase	2.7.8
R05224	6.3.5.9	hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing)	6.3.5
R05225	6.3.5.10	adenosylcobyric acid synthase (glutamine-hydrolysing)	6.3.5
R05226	3.5.1.90	adenosylcobinamide hydrolase	3.5.1
R05227	6.6.1.2	cobaltochelatase	6.6.1
R05229	1.14.11.26	deacetoxycephalosporin-C hydroxylase	1.14.11
R05230	2.1.3.7	3-hydroxymethylcephem carbamoyltransferase	2.1.3
R05231	1.1.1.2	alcohol dehydrogenase (NADP+)	1.1.1
R05233	1.1.1.1	alcohol dehydrogenase	1.1.1
R05234	1.1.1.1	alcohol dehydrogenase	1.1.1
R05235	1.2.1.29	aryl-aldehyde dehydrogenase	1.2.1
R05236	1.2.1.61	4-hydroxymuconic-semialdehyde dehydrogenase	1.2.1
R05237	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R05238	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R05239	1.3.1.56	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	1.3.1
R05240	1.3.1.58	2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase	1.3.1
R05241	1.3.1.56	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	1.3.1
R05243	1.3.1.-		1.3.1
R05244	1.6.5.6	p-benzoquinone reductase (NADPH)	1.6.5
R05245	1.13.11.39	biphenyl-2,3-diol 1,2-dioxygenase	1.13.11
R05246	1.13.11.66	hydroquinone 1,2-dioxygenase	1.13.11
R05247	1.14.12.25	p-cumate 2,3-dioxygenase	1.14.12
R05248	1.13.11.-		1.13.11
R05249	1.14.13.219	resorcinol 4-hydroxylase (NADPH)	1.14.13
R05252	1.2.-.-		1.2.-
R05256	1.13.11.-		1.13.11
R05257	1.13.11.-		1.13.11
R05258	1.14.13.167	4-nitrophenol 4-monooxygenase	1.14.13
R05261	1.14.12.18	biphenyl 2,3-dioxygenase	1.14.12
R05262	1.14.12.18	biphenyl 2,3-dioxygenase	1.14.12
R05263	1.14.12.18	biphenyl 2,3-dioxygenase	1.14.12
R05264	1.14.12.18	biphenyl 2,3-dioxygenase	1.14.12
R05265	1.14.-.-		1.14.-
R05267	2.5.1.-		2.5.1
R05269	2.5.1.-		2.5.1
R05271	1.1.1.257	4-(hydroxymethyl)benzenesulfonate dehydrogenase	1.1.1
R05272	1.2.1.62	4-formylbenzenesulfonate dehydrogenase	1.2.1
R05273	1.2.3.9	aryl-aldehyde oxidase	1.2.3
R05274	1.14.13.82	vanillate monooxygenase	1.14.13
R05275	1.3.1.64	phthalate 4,5-cis-dihydrodiol dehydrogenase	1.3.1
R05276	1.21.1.2	2,4-dichlorobenzoyl-CoA reductase	1.21.1
R05277	1.7.1.-		1.7.1
R05278	1.13.11.-		1.13.11
R05279	1.14.12.-		1.14.12
R05280	1.14.12.-		1.14.12
R05281	1.14.13.-		1.14.13
R05282	1.1.1.90	aryl-alcohol dehydrogenase	1.1.1
R05283	1.1.1.258	6-hydroxyhexanoate dehydrogenase	1.1.1
R05284	3.8.1.5	haloalkane dehalogenase	3.8.1
R05285	1.1.2.8	alcohol dehydrogenase (cytochrome c)	1.1.2
R05286	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R05287	3.8.1.2	(S)-2-haloacid dehalogenase	3.8.1
R05287	3.8.1.3	haloacetate dehalogenase	3.8.1
R05289	1.2.1.7	benzaldehyde dehydrogenase (NADP+)	1.2.1
R05289	1.2.1.28	benzaldehyde dehydrogenase (NAD+)	1.2.1
R05290	1.14.12.-		1.14.12
R05291	1.14.12.-		1.14.12
R05292	1.3.1.67	cis-1,2-dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate dehydrogenase	1.3.1
R05293	1.3.1.67	cis-1,2-dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate dehydrogenase	1.3.1
R05294	1.14.12.14	2-aminobenzenesulfonate 2,3-dioxygenase	1.14.12
R05295	1.13.11.2	catechol 2,3-dioxygenase	1.13.11
R05296	3.7.1.9	2-hydroxymuconate-6-semialdehyde hydrolase	3.7.1
R05297	4.2.1.80	2-oxopent-4-enoate hydratase	4.2.1
R05298	4.1.3.43	4-hydroxy-2-oxohexanoate aldolase	4.1.3
R05299	1.13.11.1	catechol 1,2-dioxygenase	1.13.11
R05300	5.5.1.1	muconate cycloisomerase	5.5.1
R05301	1.14.20.1	deacetoxycephalosporin-C synthase	1.14.20
R05305	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	1.1.1
R05305	1.1.1.259	3-hydroxypimeloyl-CoA dehydrogenase	1.1.1
R05307	1.2.1.-		1.2.1
R05308	1.3.1.57	phloroglucinol reductase	1.3.1
R05309	1.3.1.-		1.3.1
R05310	1.3.1.60	dibenzothiophene dihydrodiol dehydrogenase	1.3.1
R05311	1.3.1.62	pimeloyl-CoA dehydrogenase	1.3.1
R05312	1.3.1.65	5,6-dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline dehydrogenase	1.3.1
R05313	1.3.1.66	cis-dihydroethylcatechol dehydrogenase	1.3.1
R05314	1.3.1.68	1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase	1.3.1
R05315	1.1.1.166	hydroxycyclohexanecarboxylate dehydrogenase	1.1.1
R05317	1.3.3.10	tryptophan alpha,beta-oxidase	1.3.3
R05320	1.14.11.17	taurine dioxygenase	1.14.11
R05323	2.1.1.82	3-methylquercetin 7-O-methyltransferase	2.1.1
R05324	2.4.1.209	cis-p-coumarate glucosyltransferase	2.4.1
R05325	2.4.1.210	limonoid glucosyltransferase	2.4.1
R05326	2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	2.4.1
R05327	2.4.1.212	hyaluronan synthase	2.4.1
R05328	2.4.1.213	glucosylglycerol-phosphate synthase	2.4.1
R05330	2.3.1.176	propanoyl-CoA C-acyltransferase	2.3.1
R05331	2.3.1.156	phloroisovalerophenone synthase	2.3.1
R05332	2.3.1.157	glucosamine-1-phosphate N-acetyltransferase	2.3.1
R05334	1.4.3.21	primary-amine oxidase	1.4.3
R05336	2.8.3.-		2.8.3
R05338	4.1.2.43	3-hexulose-6-phosphate synthase	4.1.2
R05339	5.3.1.27	6-phospho-3-hexuloisomerase	5.3.1
R05341	5.5.1.19	lycopene beta-cyclase	5.5.1
R05347	1.1.1.90	aryl-alcohol dehydrogenase	1.1.1
R05348	1.1.1.90	aryl-alcohol dehydrogenase	1.1.1
R05349	1.1.1.256	fluoren-9-ol dehydrogenase	1.1.1
R05350	1.1.1.256	fluoren-9-ol dehydrogenase	1.1.1
R05351	1.1.1.-		1.1.1
R05352	1.1.1.311	(S)-1-phenylethanol dehydrogenase	1.1.1
R05353	1.2.1.85	2-hydroxymuconate-6-semialdehyde dehydrogenase	1.2.1
R05354	1.3.1.19	cis-1,2-dihydrobenzene-1,2-diol dehydrogenase	1.3.1
R05355	1.3.1.32	maleylacetate reductase	1.3.1
R05356	3.5.2.-		3.5.2
R05357	3.5.3.22	proclavaminate amidinohydrolase	3.5.3
R05358	3.5.5.7	aliphatic nitrilase	3.5.5
R05359	3.7.1.8	2,6-dioxo-6-phenylhexa-3-enoate hydrolase	3.7.1
R05360	3.7.1.-		3.7.1
R05361	3.7.1.-		3.7.1
R05362	3.7.1.9	2-hydroxymuconate-6-semialdehyde hydrolase	3.7.1
R05363	3.7.1.-		3.7.1
R05364	3.7.1.-		3.7.1
R05365	3.7.1.13	2-hydroxy-6-oxo-6-(2-aminophenyl)hexa-2,4-dienoate hydrolase	3.7.1
R05366	3.7.1.-		3.7.1
R05367	3.8.1.5	haloalkane dehalogenase	3.8.1
R05368	3.8.1.5	haloalkane dehalogenase	3.8.1
R05369	3.8.1.5	haloalkane dehalogenase	3.8.1
R05370	3.8.1.5	haloalkane dehalogenase	3.8.1
R05371	3.8.1.-		3.8.1
R05372	3.8.1.-		3.8.1
R05373	4.1.1.9	malonyl-CoA decarboxylase	4.1.1
R05374	4.1.1.77	2-oxo-3-hexenedioate decarboxylase	4.1.1
R05375	4.1.1.55	4,5-dihydroxyphthalate decarboxylase	4.1.1
R05376	4.1.1.-		4.1.1
R05377	4.1.1.-		4.1.1
R05378	4.1.2.29	5-dehydro-2-deoxyphosphogluconate aldolase	4.1.2
R05379	4.2.1.84	nitrile hydratase	4.2.1
R05380	4.2.1.112	acetylene hydratase	4.2.1
R05381	4.3.3.-		4.3.3
R05382	4.3.3.-		4.3.3
R05383	5.4.4.1	(hydroxyamino)benzene mutase	5.4.4
R05384	4.5.1.-		4.5.1
R05385	4.5.1.-		4.5.1
R05386	4.5.1.-		4.5.1
R05387	4.5.1.-		4.5.1
R05388	4.5.1.-		4.5.1
R05389	5.3.2.6	2-hydroxymuconate tautomerase	5.3.2
R05390	5.5.1.1	muconate cycloisomerase	5.5.1
R05391	5.5.1.7	chloromuconate cycloisomerase	5.5.1
R05392	5.5.1.7	chloromuconate cycloisomerase	5.5.1
R05393	5.5.1.11	dichloromuconate cycloisomerase	5.5.1
R05394	5.5.1.-		5.5.1
R05395	1.3.1.-		1.3.1
R05396	1.3.1.-		1.3.1
R05397	1.3.1.119	chlorobenzene dihydrodiol dehydrogenase	1.3.1
R05399	1.6.5.7	2-hydroxy-1,4-benzoquinone reductase	1.6.5
R05400	1.7.1.16	nitrobenzene nitroreductase	1.7.1
R05401	1.7.1.16	nitrobenzene nitroreductase	1.7.1
R05402	1.21.4.5	tetrachlorohydroquinone reductive dehalogenase	1.21.4
R05403	1.21.4.5	tetrachlorohydroquinone reductive dehalogenase	1.21.4
R05404	1.13.11.2	catechol 2,3-dioxygenase	1.13.11
R05405	1.13.11.74	2-aminophenol 1,6-dioxygenase	1.13.11
R05406	1.13.11.2	catechol 2,3-dioxygenase	1.13.11
R05407	1.13.11.-		1.13.11
R05408	1.13.11.-		1.13.11
R05409	1.13.11.-		1.13.11
R05410	1.13.11.-		1.13.11
R05411	1.13.11.-		1.13.11
R05412	1.13.11.-		1.13.11
R05413	1.13.11.-		1.13.11
R05414	1.14.12.22	carbazole 1,9a-dioxygenase	1.14.12
R05415	1.13.11.-		1.13.11
R05416	1.13.11.-		1.13.11
R05417	1.14.12.-		1.14.12
R05418	1.14.13.-		1.14.13
R05419	1.14.11.-		1.14.11
R05420	3.1.1.92	4-sulfomuconolactone hydrolase	3.1.1
R05421	3.1.8.1	aryldialkylphosphatase	3.1.8
R05422	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05422	1.14.12.-		1.14.12
R05423	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05424	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05425	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05426	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05427	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R05428	1.14.12.-		1.14.12
R05429	1.14.12.26	chlorobenzene dioxygenase	1.14.12
R05430	1.14.12.-		1.14.12
R05431	1.14.12.-		1.14.12
R05432	1.14.12.-		1.14.12
R05433	1.14.12.-		1.14.12
R05434	1.14.12.-		1.14.12
R05435	1.14.12.-		1.14.12
R05436	1.14.12.-		1.14.12
R05437	1.14.12.-		1.14.12
R05438	1.14.12.-		1.14.12
R05439	1.14.12.-		1.14.12
R05440	1.14.12.-		1.14.12
R05441	1.14.13.20	2,4-dichlorophenol 6-monooxygenase	1.14.13
R05444	1.14.13.69	alkene monooxygenase	1.14.13
R05446	1.14.14.-		1.14.14
R05447	1.14.14.-		1.14.14
R05448	1.14.13.-		1.14.13
R05449	1.14.14.173	2,4,6-trichlorophenol monooxygenase	1.14.14
R05450	1.14.13.-		1.14.13
R05451	6.2.1.-		6.2.1
R05452	6.2.1.-		6.2.1
R05453	6.4.1.8	acetophenone carboxylase	6.4.1
R05456	1.14.14.-		1.14.14
R05459	1.3.98.4	5a,11a-dehydrotetracycline reductase	1.3.98
R05462	1.14.13.233	4-hydroxy-6-methylpretetramide 12a-monooxygenase	1.14.13
R05463	1.14.13.232	6-methylpretetramide 4-monooxygenase	1.14.13
R05465	2.5.1.66	N2-(2-carboxyethyl)arginine synthase	2.5.1
R05466	1.14.11.21	clavaminate synthase	1.14.11
R05467	6.3.3.4	(carboxyethyl)arginine beta-lactam-synthase	6.3.3
R05468	1.14.11.21	clavaminate synthase	1.14.11
R05469	1.14.11.21	clavaminate synthase	1.14.11
R05475	1.14.12.-		1.14.12
R05488	1.14.14.11	styrene monooxygenase	1.14.14
R05492	1.14.99.-		1.14.99
R05493	1.14.11.-		1.14.11
R05495	1.17.-.-		1.17.-
R05497	1.97.1.-		1.97.1
R05498	1.97.1.-		1.97.1
R05499	1.21.99.5	tetrachloroethene reductive dehalogenase	1.21.99
R05500	1.21.99.5	tetrachloroethene reductive dehalogenase	1.21.99
R05501	1.21.99.5	tetrachloroethene reductive dehalogenase	1.21.99
R05502	1.97.1.-		1.97.1
R05503	1.97.1.-		1.97.1
R05504	1.97.1.-		1.97.1
R05506	2.3.1.16	acetyl-CoA C-acyltransferase	2.3.1
R05506	2.3.1.-		2.3.1
R05507	2.6.1.116	6-aminohexanoate aminotransferase	2.6.1
R05508	2.8.3.1	propionate CoA-transferase	2.8.3
R05509	2.8.3.12	glutaconate CoA-transferase	2.8.3
R05510	3.1.1.45	carboxymethylenebutenolidase	3.1.1
R05511	3.1.1.45	carboxymethylenebutenolidase	3.1.1
R05518	4.2.1.159	dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase	4.2.1
R05520	2.1.1.254	erythromycin 3''-O-methyltransferase	2.1.1
R05521	1.14.13.154	erythromycin 12-hydroxylase	1.14.13
R05522	1.14.13.154	erythromycin 12-hydroxylase	1.14.13
R05526	1.1.1.384	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase	1.1.1
R05530	2.4.1.328	erythronolide mycarosyltransferase	2.4.1
R05531	2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase	2.4.1
R05532	2.1.1.254	erythromycin 3''-O-methyltransferase	2.1.1
R05548	3.1.8.1	aryldialkylphosphatase	3.1.8
R05549	3.2.1.22	alpha-galactosidase	3.2.1
R05551	3.5.1.4	amidase	3.5.1
R05553	4.1.3.38	aminodeoxychorismate lyase	4.1.3
R05554	3.5.3.26	(S)-ureidoglycine aminohydrolase	3.5.3
R05555	2.5.1.-		2.5.1
R05556	2.5.1.87	ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyl diphosphate specific]	2.5.1
R05558	3.8.1.8	atrazine chlorohydrolase	3.8.1
R05559	3.5.4.43	hydroxydechloroatrazine ethylaminohydrolase	3.5.4
R05560	3.5.4.42	N-isopropylammelide isopropylaminohydrolase	3.5.4
R05563	3.5.1.84	biuret amidohydrolase	3.5.1
R05564	1.14.15.-		1.14.15
R05565	1.14.15.-		1.14.15
R05566	2.4.1.187	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	2.4.1
R05567	1.14.15.-		1.14.15
R05568	1.14.15.-		1.14.15
R05569	3.8.1.8	atrazine chlorohydrolase	3.8.1
R05571	1.1.1.251	galactitol-1-phosphate 5-dehydrogenase	1.1.1
R05572	3.8.1.-		3.8.1
R05573	3.5.4.-		3.5.4
R05574	3.5.4.-		3.5.4
R05575	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	1.1.1
R05576	1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	1.1.1
R05581	1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1.1.1
R05582	1.1.1.-		1.1.1
R05585	1.4.-.-		1.4.-
R05586	2.3.1.16	acetyl-CoA C-acyltransferase	2.3.1
R05587	2.3.1.-		2.3.1
R05588	2.8.3.15	succinyl-CoA:(R)-benzylsuccinate CoA-transferase	2.8.3
R05590	3.5.1.4	amidase	3.5.1
R05591	3.5.5.1	nitrilase	3.5.5
R05592	3.1.2.-		3.1.2
R05593	3.7.1.21	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase	3.7.1
R05594	3.7.1.21	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase	3.7.1
R05595	4.2.1.17	enoyl-CoA hydratase	4.2.1
R05596	4.2.1.84	nitrile hydratase	4.2.1
R05597	4.2.1.100	cyclohexa-1,5-dienecarbonyl-CoA hydratase	4.2.1
R05598	4.1.99.11	benzylsuccinate synthase	4.1.99
R05599	4.2.1.-		4.2.1
R05600	4.2.1.-		4.2.1
R05601	4.2.1.-		4.2.1
R05602	4.2.1.-		4.2.1
R05603	6.4.1.-		6.4.1
R05604	1.1.1.11	D-arabinitol 4-dehydrogenase	1.1.1
R05605	4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	4.1.2
R05605	4.1.2.55	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase	4.1.2
R05606	4.2.1.8	mannonate dehydratase	4.2.1
R05607	1.1.1.140	sorbitol-6-phosphate 2-dehydrogenase	1.1.1
R05608	4.2.1.42	galactarate dehydratase	4.2.1
R05611	2.5.1.-		2.5.1
R05612	2.5.1.-		2.5.1
R05613	2.5.1.-		2.5.1
R05614	2.1.1.64	3-demethylubiquinol 3-O-methyltransferase	2.1.1
R05615	2.5.1.39	4-hydroxybenzoate polyprenyltransferase	2.5.1
R05616	2.5.1.39	4-hydroxybenzoate polyprenyltransferase	2.5.1
R05618	3.1.1.14	chlorophyllase	3.1.1
R05620	6.2.1.-		6.2.1
R05621	1.14.12.10	benzoate 1,2-dioxygenase	1.14.12
R05622	1.14.12.10	benzoate 1,2-dioxygenase	1.14.12
R05623	1.14.13.148	trimethylamine monooxygenase	1.14.13
R05625	2.7.9.-		2.7.9
R05626	2.7.1.66	undecaprenol kinase	2.7.1
R05627	3.6.1.27	undecaprenyl-diphosphate phosphatase	3.6.1
R05629	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase	2.7.8
R05630	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide-transferase	2.7.8
R05632	1.14.13.1	salicylate 1-monooxygenase	1.14.13
R05632	1.14.13.135	1-hydroxy-2-naphthoate hydroxylase	1.14.13
R05633	2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	2.7.7
R05634	2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1
R05636	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1
R05637	4.6.1.12	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1
R05639	1.3.1.70	Delta14-sterol reductase	1.3.1
R05641	1.3.1.71	Delta24(241)-sterol reductase	1.3.1
R05642	5.1.2.-		5.1.2
R05643	1.2.1.78	2-formylbenzoate dehydrogenase	1.2.1
R05644	2.7.7.70	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	2.7.7
R05645	5.3.1.28	D-sedoheptulose 7-phosphate isomerase	5.3.1
R05646	2.7.1.167	D-glycero-beta-D-manno-heptose-7-phosphate kinase	2.7.1
R05647	3.1.3.82	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	3.1.3
R05648	4.1.2.-		4.1.2
R05649	1.2.1.-		1.2.1
R05650	1.13.11.-		1.13.11
R05651	2.3.3.15	sulfoacetaldehyde acetyltransferase	2.3.3
R05652	2.6.1.77	taurine---pyruvate aminotransferase	2.6.1
R05653	1.14.13.-		1.14.13
R05654	1.14.13.-		1.14.13
R05655	1.14.13.-		1.14.13
R05658	3.3.2.-		3.3.2
R05661	2.7.1.92	5-dehydro-2-deoxygluconokinase	2.7.1
R05662	2.4.1.227	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	2.4.1
R05663	1.2.1.7	benzaldehyde dehydrogenase (NADP+)	1.2.1
R05663	1.2.1.28	benzaldehyde dehydrogenase (NAD+)	1.2.1
R05664	1.2.1.7	benzaldehyde dehydrogenase (NADP+)	1.2.1
R05664	1.2.1.28	benzaldehyde dehydrogenase (NAD+)	1.2.1
R05665	1.14.12.-		1.14.12
R05666	1.14.13.236	toluene 4-monooxygenase	1.14.13
R05668	1.-.-.-		1.-.-
R05669	3.-.-.-		3.-.-
R05670	2.-.-.-		2.-.-
R05672	2.3.-.-		2.3.-
R05673	2.-.-.-		2.-.-
R05674	2.-.-.-		2.-.-
R05676	2.1.1.38	O-demethylpuromycin O-methyltransferase	2.1.1
R05678	1.1.1.260	sulcatone reductase	1.1.1
R05679	1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	1.1.1
R05680	1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	1.1.1
R05681	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1
R05682	1.1.1.263	1,5-anhydro-D-fructose reductase	1.1.1
R05683	1.1.1.264	L-idonate 5-dehydrogenase	1.1.1
R05683	1.1.1.366	L-idonate 5-dehydrogenase (NAD+)	1.1.1
R05684	1.1.1.264	L-idonate 5-dehydrogenase	1.1.1
